table_name,column_name,data_type
ott_acnt_accrl_mo,acnt_sk,bigint
ott_acnt_accrl_mo,chrg_dttm,timestamp without time zone
ott_acnt_accrl_mo,chrg_dt,date
ott_acnt_accrl_mo,pln_sk,integer
ott_acnt_accrl_mo,pkg_sk,integer
ott_acnt_accrl_mo,enttlmnt_sk,integer
ott_acnt_accrl_mo,txn_typ_cd,character varying
ott_acnt_accrl_mo,chrg_typ_cd,character varying
ott_acnt_accrl_mo,ln_of_bus_cd,character varying
ott_acnt_accrl_mo,gl_pkg_ctg_sk,integer
ott_acnt_accrl_mo,chrg_rsn_cd,character varying
ott_acnt_accrl_mo,invce_sk,bigint
ott_acnt_accrl_mo,invce_dtl_sk,bigint
ott_acnt_accrl_mo,txn_invce_sk,bigint
ott_acnt_accrl_mo,svc_strt_dt,date
ott_acnt_accrl_mo,svc_end_dt,date
ott_acnt_accrl_mo,amt,numeric
ott_acnt_accrl_mo,prtd_dy_cnt,numeric
ott_acnt_accrl_mo,ernd_rev_dy_cnt,numeric
ott_acnt_accrl_mo,unernd_rev_dy_cnt,numeric
ott_acnt_accrl_mo,dly_prtd_amt,numeric
ott_acnt_accrl_mo,ernd_amt,numeric
ott_acnt_accrl_mo,unernd_amt,numeric
ott_acnt_accrl_mo,rltv_fair_prc_ind,boolean
ott_acnt_accrl_mo,fair_val_amt,numeric
ott_acnt_accrl_mo,rltv_fair_val_amt,numeric
ott_acnt_accrl_mo,rltv_ernd_amt,numeric
ott_acnt_accrl_mo,rltv_unernd_amt,numeric
ott_acnt_accrl_mo,grss_amt,numeric
ott_acnt_accrl_mo,disc_amt,numeric
ott_acnt_accrl_mo,dly_prtd_grss_amt,numeric
ott_acnt_accrl_mo,dly_prtd_disc_amt,numeric
ott_acnt_accrl_mo,rltv_ernd_grss_amt,numeric
ott_acnt_accrl_mo,rltv_ernd_disc_amt,numeric
ott_acnt_accrl_mo,rltv_unernd_grss_amt,numeric
ott_acnt_accrl_mo,rltv_unernd_disc_amt,numeric
ott_acnt_accrl_mo,ernd_grss_amt,numeric
ott_acnt_accrl_mo,ernd_disc_amt,numeric
ott_acnt_accrl_mo,unernd_grss_amt,numeric
ott_acnt_accrl_mo,unernd_disc_amt,numeric
ott_acnt_accrl_mo,rltv_ernd_grss_tx_amt,numeric
ott_acnt_accrl_mo,bas_pkg_ln_of_bus_cd,character varying
ott_acnt_accrl_mo,rltv_ernd_agnt_eqpmt_disc_amt,numeric
ott_acnt_accrl_mo,rltv_unernd_agnt_eqpmt_disc_amt,numeric
ott_acnt_accrl_mo,agnt_eqpmt_amt,numeric
ott_acnt_accrl_mo,rltv_agnt_ernd_amt,numeric
ott_acnt_accrl_mo,rltv_agnt_unernd_amt,numeric
ott_acnt_accrl_mo,rltv_agnt_ernd_grss_amt,numeric
ott_acnt_accrl_mo,rltv_agnt_unernd_grss_amt,numeric
ott_acnt_accrl_mo,rltv_agnt_ernd_disc_amt,numeric
ott_acnt_accrl_mo,rltv_agnt_unernd_disc_amt,numeric
ott_acnt_accrl_mo,updtd_by,character varying
ott_acnt_accrl_mo,updtd_dttm,timestamp without time zone
ott_acnt_brwsr_fngr_prnts,acnt_brwsr_fngr_prnts_sk,bigint
ott_acnt_brwsr_fngr_prnts,brwsr_fngr_prnts_src_key,bigint
ott_acnt_brwsr_fngr_prnts,act_cls_cd,character varying
ott_acnt_brwsr_fngr_prnts,brwsr_fngr_prnts_txt,character varying
ott_acnt_brwsr_fngr_prnts,brwsr_typ_cd,character varying
ott_acnt_brwsr_fngr_prnts,brwsr_typ_desc,character varying
ott_acnt_brwsr_fngr_prnts,tz_offst_val_in_mnt,character varying
ott_acnt_brwsr_fngr_prnts,brwsr_lang_cd,character varying
ott_acnt_brwsr_fngr_prnts,cooks_enbld_ind,boolean
ott_acnt_brwsr_fngr_prnts,dvce_used_cd,character varying
ott_acnt_brwsr_fngr_prnts,dvce_used_desc,character varying
ott_acnt_brwsr_fngr_prnts,creat_app_cd,character varying
ott_acnt_brwsr_fngr_prnts,pln_sk,integer
ott_acnt_brwsr_fngr_prnts,clnt_ip_addr,character varying
ott_acnt_brwsr_fngr_prnts,rqst_pyld_txt,character varying
ott_acnt_brwsr_fngr_prnts,src_creat_dttm,timestamp without time zone
ott_acnt_brwsr_fngr_prnts,src_updtd_dttm,timestamp without time zone
ott_acnt_brwsr_fngr_prnts,add_pkg_mx_txt,character varying
ott_acnt_brwsr_fngr_prnts,rmvd_pkg_mx_txt,character varying
ott_acnt_brwsr_fngr_prnts,pkg_mx_txt,character varying
ott_acnt_brwsr_fngr_prnts,updtd_by,character varying
ott_acnt_brwsr_fngr_prnts,updtd_dttm,timestamp without time zone
ott_acnt_cc_vfcn,acnt_crd_vfcn_sk,bigint
ott_acnt_cc_vfcn,cc_vfcn_src_key,bigint
ott_acnt_cc_vfcn,acnt_sk,bigint
ott_acnt_cc_vfcn,clnt_ip_addr,character varying
ott_acnt_cc_vfcn,cc_vfcn_sts_cd,character varying
ott_acnt_cc_vfcn,src_creat_dttm,timestamp without time zone
ott_acnt_cc_vfcn,src_updtd_dttm,timestamp without time zone
ott_acnt_cc_vfcn,updtd_by,character varying
ott_acnt_cc_vfcn,updtd_dttm,timestamp without time zone
ott_acnt_dvce_imprsn,acnt_sk,bigint
ott_acnt_dvce_imprsn,pkg_sk,integer
ott_acnt_dvce_imprsn,pln_sk,integer
ott_acnt_dvce_imprsn,ten_ft_ind,boolean
ott_acnt_dvce_imprsn,vw_tm,numeric
ott_acnt_dvce_imprsn,src_cd,character varying
ott_acnt_dvce_imprsn,dup_ind,boolean
ott_acnt_dvce_imprsn,updtd_by,character varying
ott_acnt_dvce_imprsn,updtd_dttm,timestamp without time zone
ott_acnt_eqpmt_inst,acnt_sk,bigint
ott_acnt_prfl,acnt_sk,bigint
ott_acnt_prfl,src_stet_addr_sk,bigint
ott_acnt_prfl,eml_addr_sk,bigint
ott_acnt_prfl,acnt_sts_cd,character varying
ott_acnt_prfl,hse_stet_addr_sk,bigint
ott_acnt_prfl,afflt_sls_chnl_sk,integer
ott_acnt_prfl,afflt_agnt_id,character varying
ott_acnt_prfl,afflt_stre_id,character varying
ott_acnt_prfl,blg_prtnr_sls_chnl_sk,integer
ott_acnt_prfl,acnt_creat_app_cd,character varying
ott_acnt_prfl,acnt_lst_updt_app_cd,character varying
ott_acnt_prfl,acnt_prfl_creat_app_cd,character varying
ott_acnt_prfl,acnt_prfl_lst_updt_app_cd,character varying
ott_acnt_prfl,creat_emp_sk,bigint
ott_acnt_prfl,lst_updt_emp_sk,bigint
ott_acnt_prfl,co_acnt_ind,smallint
ott_acnt_prfl,acnt_clfn_cd,character varying
ott_acnt_prfl,acnt_creat_cart_cd,character varying
ott_acnt_prfl,acnt_creat_brwsr_sk,integer
ott_acnt_prfl,acnt_creat_dvce_char_sk,bigint
ott_acnt_prfl,acnt_actvtn_creat_cart_cd,character varying
ott_acnt_prfl,acnt_actvtn_brwsr_sk,integer
ott_acnt_prfl,acnt_actvtn_dvce_char_sk,bigint
ott_acnt_prfl,cj_afflt_ind,boolean
ott_acnt_prfl,endg_eff_dt,date
ott_acnt_prfl,cur_ind,boolean
ott_acnt_prfl,updtd_by,character varying
ott_acnt_prfl,updtd_dttm,timestamp without time zone
ott_acnt_sls_chnl,acnt_sls_chnl_sk,bigint
ott_acnt_sls_chnl,acnt_sk,bigint
ott_acnt_sls_chnl,acnt_actvtn_dt,date
ott_acnt_sls_chnl,pt_of_sls_nm,character varying
ott_acnt_sls_chnl,sllr_typ_nm,character varying
ott_acnt_sls_chnl,sllr_sb_typ_nm,character varying
ott_acnt_sls_chnl,sllr_nm,character varying
ott_acnt_sls_chnl,sllr_str_cd,character varying
ott_acnt_sls_chnl,drvd_pt_of_sls_nm,character varying
ott_acnt_sls_chnl,drvd_sllr_typ_nm,character varying
ott_acnt_sls_chnl,bgn_eff_dt,date
ott_acnt_sls_chnl,endg_eff_dt,date
ott_acnt_sls_chnl,updtd_by,character varying
ott_acnt_sls_chnl,updtd_dttm,timestamp without time zone
ott_acnt_sum,ott_acnt_sum_sk,integer
ott_acnt_sum,rpt_dt,date
ott_acnt_sum,tm_pd,character varying
ott_acnt_sum,blg_prtnr_cd,character varying
ott_acnt_sum,pt_of_sls_nm,character varying
ott_acnt_sum,ctg_nm,character varying
ott_acnt_sum,acnt_pd_clsg_bas_cnt,integer
ott_acnt_sum,updtd_by,character varying
ott_acnt_sum,updtd_dttm,timestamp without time zone
ott_acnt_svcs,acnt_svcs_sk,bigint
ott_acnt_svcs,acnt_sk,bigint
ott_acnt_svcs,subsn_sk,bigint
ott_acnt_svcs,pkg_sk,integer
ott_acnt_svcs,pkg_orig_actvtn_dt,date
ott_acnt_svcs,pkg_orig_actvtn_tm,character varying
ott_acnt_svcs,pkg_actvtn_dt,date
ott_acnt_svcs,pkg_actvtn_tm,character varying
ott_acnt_svcs,pkg_trl_strt_dt,date
ott_acnt_svcs,pkg_trl_strt_tm,character varying
ott_acnt_svcs,pkg_trl_end_dt,date
ott_acnt_svcs,pkg_trl_end_tm,character varying
ott_acnt_svcs,pkg_xncl_dt,date
ott_acnt_svcs,pkg_xncl_tm,character varying
ott_acnt_svcs,pkg_dcnct_dt,date
ott_acnt_svcs,pkg_dcnct_tm,character varying
ott_acnt_svcs,pkg_sts_cd,character varying
ott_acnt_svcs,fr_trl_ind,boolean
ott_acnt_svcs,rll_to_same_pkg_ind,boolean
ott_acnt_svcs,xncl_subsn_ind,boolean
ott_acnt_svcs,dcnct_subsn_ind,boolean
ott_acnt_svcs,cur_subsn_strt_dt,date
ott_acnt_svcs,cur_subsn_strt_tm,character varying
ott_acnt_svcs,cur_subsn_end_dt,date
ott_acnt_svcs,cur_subsn_end_tm,character varying
ott_acnt_svcs,bgn_eff_dt,date
ott_acnt_svcs,endg_eff_dt,date
ott_acnt_svcs,cur_ind,boolean
ott_acnt_svcs,updtd_by,character varying
ott_acnt_svcs,updtd_dttm,timestamp without time zone
ott_brwsr,brwsr_sk,integer
ott_brwsr,brwsr_ver_nbr,character varying
ott_brwsr,updtd_by,character varying
ott_brwsr,updtd_dttm,timestamp without time zone
ott_chnl,chnl_sk,integer
ott_chnl,chnl_src_key,character varying
ott_chnl,chnl_id,character varying
